"city";"region"
мензелинск;Республика Татарстан (Татарстан)
мещовск;Калужская область
миасс;Челябинская область
микунь;Республика Коми
миллерово;Ростовская область
минеральные воды;Ставропольский край
минусинск;Красноярский край
миньяр;Челябинская область
михайлов;Рязанская область
михайловка;Волгоградская область
мичуринск;Тамбовская область
могоча;Забайкальский край
можайск;Московская область
можга;Удмуртская Республика
моздок;Республика Северная Осетия — Алания
мончегорск;Мурманская область
морозовск;Ростовская область
моршанск;Тамбовская область
мосальск;Калужская область
москв;Москва
москва;Москва
муравленко;Тюменская область
мураши;Кировская область
мурино;Ленинградская область
мурманск;Мурманская область
муром;Владимирская область
мценск;Орловская область
мыски;Кемеровская область — Кузбасс
мытищи;Московская область
мышкин;Ярославская область
набережные челны;Республика Татарстан (Татарстан)
навашино;Нижегородская область
наволоки;Ивановская область
надым;Тюменская область
назарово;Красноярский край
назрань;Республика Ингушетия
называевск;Омская область
нальчик;Кабардино-Балкарская Республика
нариманов;Астраханская область
наро-фоминск;Московская область
нарткала;Кабардино-Балкарская Республика
нарьян-мар;Архангельская область
наурская;Чеченская Республика
находка;Приморский край
невель;Псковская область
невельск;Сахалинская область
невинномысск;Ставропольский край
невьянск;Свердловская область
нелидово;Тверская область
неман;Калининградская область
нерехта;Костромская область
нерчинск;Забайкальский край
нерюнгри;Республика Саха (Якутия)
нестеров;Калининградская область
нефтегорск;Самарская область
нефтекамск;Республика Башкортостан
нефтекумск;Ставропольский край
нефтеюганск;Ханты-Мансийский Автономный округ — Югра
нижневартовск;Ханты-Мансийский Автономный округ — Югра
нижнекамск;Республика Татарстан (Татарстан)
нижнеудинск;Иркутская область
нижние серги;Свердловская область
нижний ломов;Пензенская область
нижний новгород;Нижегородская область
нижний тагил;Свердловская область
нижняя салда;Свердловская область
нижняя тура;Свердловская область
николаевск;Волгоградская область
николаевск-на-амуре;Хабаровский край
никольское;Ленинградская область
новая ладога;Ленинградская область
новая ляля;Свердловская область
новоалександровск;Ставропольский край
новоалтайск;Республика Алтай
новоаннинский;Волгоградская область
нововоронеж;Воронежская область
новодвинск;Архангельская область
новозыбков;Брянская область
новокубанск;Краснодарский край
новокузнецк;Кемеровская область — Кузбасс
новокуйбышевск;Самарская область
новомичуринск;Рязанская область
новомосковск;Тульская область
новопавловск;Ставропольский край
новоржев;Псковская область
новороссийск;Краснодарский край
новосибирск;Новосибирская область
новосиль;Орловская область
новосокольники;Псковская область
новотроицк;Оренбургская область
новоузенск;Саратовская область
новоульяновск;Ульяновская область
новоуральск;Свердловская область
новохоперск;Воронежская область
новочебоксарск;Чувашская Республика — Чувашия
новочеркасск;Ростовская область
новошахтинск;Ростовская область
новый оскол;Белгородская область
новый уренгой;Тюменская область
ногинск;Московская область
нолинск;Кировская область
норильск;Красноярский край
ноябрьск;Тюменская область
нурлат;Республика Татарстан (Татарстан)
нытва;Пермский край
нюрба;Республика Саха (Якутия)
нягань;Ханты-Мансийский Автономный округ — Югра
нязепетровск;Челябинская область
няндома;Архангельская область
облучье;Еврейская автономная область
обнинск;Калужская область
обоянь;Курская область
одинцово;Московская область
озеры;Московская область
ойсхара;Чеченская Республика
октябрьск;Самарская область
октябрьский;Республика Башкортостан
окуловка;Новгородская область
олекминск;Республика Саха (Якутия)
оленегорск;Мурманская область
олонец;Республика Карелия
омутнинск;Кировская область
онега;Архангельская область
опочка;Псковская область
орел;Орловская область
оренбург;Оренбургская область
орехово-зуево;Московская область
орлов;Кировская область
осинники;Кемеровская область — Кузбасс
осташков;Тверская область
остров;Псковская область
островной;Мурманская область
острогожск;Воронежская область
отрадное;Ленинградская область
отрадный;Самарская область
оханск;Пермский край
павлово;Нижегородская область
павловск;Воронежская область
павловский посад;Московская область
палласовка;Волгоградская область
партизанск;Приморский край
певек;Чукотский автономный округ
пенза;Пензенская область
первомайск;Нижегородская область
первоуральск;Свердловская область
перевоз;Нижегородская область
пересвет;Московская область
переславль-залесский;Ярославская область
пермь;Пермский край
пестово;Новгородская область
петров вал;Волгоградская область
петровск;Саратовская область
петровск-забайкальский;Забайкальский край
петрозаводск;Республика Карелия
петропавловск-камчатский;Камчатский край
петухово;Курганская область
петушки;Владимирская область
печора;Республика Коми
печоры;Псковская область
пикалево;Ленинградская область
пионерский;Калининградская область
питкяранта;Республика Карелия
плавск;Тульская область
пласт;Челябинская область
поворино;Воронежская область
подольск;Московская область
подпорожье;Ленинградская область
покачи;Ханты-Мансийский Автономный округ — Югра
покров;Владимирская область
покровск;Республика Саха (Якутия)
полевской;Свердловская область
полесск;Калининградская область
полысаево;Кемеровская область — Кузбасс
полярные зори;Мурманская область
полярный;Мурманская область
поронайск;Сахалинская область
порхов;Псковская область
похвистнево;Самарская область
почеп;Брянская область
починок;Смоленская область
пошехонье;Ярославская область
правдинск;Калининградская область
приволжск;Ивановская область
приморско-ахтарск;Краснодарский край
приозерск;Ленинградская область
прокопьевск;Кемеровская область — Кузбасс
пролетарск;Ростовская область
протвино;Московская область
прохладный;Кабардино-Балкарская Республика
псков;Псковская область
пугачев;Саратовская область
пудож;Республика Карелия
пустошка;Псковская область
пучеж;Ивановская область
пушкино;Московская область
пущино;Московская область
пыталово;Псковская область
пыть-ях;Ханты-Мансийский Автономный округ — Югра
пятигорск;Ставропольский край
райчихинск;Амурская область
раменское;Московская область
рассказово;Тамбовская область
ревда;Свердловская область
реутов;Московская область
родники;Ивановская область
рославль;Смоленская область
россошь;Воронежская область
ростов великий;Ярославская область
ростов-на-дону;Ростовская область
ростовская обл;Ростовская область
ростовской обл;Ростовская область
рошаль;Московская область
ртищево;Саратовская область
рубцовск;Республика Алтай
рудня;Смоленская область
рузаевка;Республика Мордовия
рыбинск;Ярославская область
рыбное;Рязанская область
рыльск;Курская область
ряжск;Рязанская область
рязань;Рязанская область
саки;Республика Крым
салават;Республика Башкортостан
салаир;Кемеровская область — Кузбасс
салехард;Тюменская область
сальск;Ростовская область
самара;Самарская область
санкт-петербург;Санкт-Петербург
саранск;Республика Мордовия
сарапул;Удмуртская Республика
саратов;Саратовская область
саров;Нижегородская область
сасово;Рязанская область
сатка;Челябинская область
сафоново;Смоленская область
саяногорск;Республика Хакасия
саянск;Иркутская область
светлогорск;Калининградская область
светлоград;Ставропольский край
светлый;Калининградская область
светогорск;Ленинградская область
свирск;Иркутская область
свободный;Амурская область
себеж;Псковская область
севастополь;Севастополь
северо-курильск;Сахалинская область
северобайкальск;Республика Бурятия
северодвинск;Архангельская область
североморск;Мурманская область
североуральск;Свердловская область
северск;Томская область
севск;Брянская область
сегежа;Республика Карелия
сельцо;Брянская область
семенов;Нижегородская область
семикаракорск;Ростовская область
семилуки;Воронежская область
сенгилей;Ульяновская область
серафимович;Волгоградская область
сергач;Нижегородская область
сергиев посад;Московская область
сердобск;Пензенская область
серноводское;Чеченская Республика
серов;Свердловская область
серпухов;Московская область
сертолово;Ленинградская область
сибай;Республика Башкортостан
симферополь;Республика Крым
сковородино;Амурская область
скопин;Рязанская область
славгород;Республика Алтай
славск;Калининградская область
славянск-на-кубани;Краснодарский край
сланцы;Ленинградская область
слободской;Кировская область
слюдянка;Иркутская область
смоленск;Смоленская область
снежинск;Челябинская область
снежногорск;Мурманская область
собинка;Владимирская область
советская гавань;Хабаровский край
советский;Ханты-Мансийский Автономный округ — Югра
сокол;Вологодская область
солигалич;Костромская область
соликамск;Пермский край
солнечногорск;Московская область
соль-илецк;Оренбургская область
сольвычегодск;Архангельская область
сольцы;Новгородская область
сорочинск;Оренбургская область
сорск;Республика Хакасия
сортавала;Республика Карелия
сосенский;Калужская область
сосновка;Кировская область
сосновоборск;Красноярский край
сосновый бор;Ленинградская область
сосногорск;Республика Коми
спас-деменск;Калужская область
спас-клепики;Рязанская область
спасск;Пензенская область
спасск-дальний;Приморский край
спасск-рязанский;Рязанская область
среднеколымск;Республика Саха (Якутия)
среднеуральск;Свердловская область
сретенск;Забайкальский край
ставрополь;Ставропольский край
старая купавна;Московская область
старая русса;Новгородская область
старица;Тверская область
стародуб;Брянская область
старый крым;Республика Крым
старый оскол;Белгородская область
стерлитамак;Республика Башкортостан
стрежевой;Томская область
строитель;Белгородская область
струнино;Владимирская область
ступино;Московская область
суворов;Тульская область
судак;Республика Крым
суджа;Курская область
судогда;Владимирская область
суздаль;Владимирская область
сунжа;Республика Ингушетия
суоярви;Республика Карелия
сураж;Брянская область
сургут;Ханты-Мансийский Автономный округ — Югра
суровикино;Волгоградская область
сурск;Пензенская область
сусуман;Магаданская область
сухиничи;Калужская область
сухой лог;Свердловская область
сызрань;Самарская область
сыктывкар;Республика Коми
сысерть;Свердловская область
сычевка;Смоленская область
сясьстрой;Ленинградская область
тавда;Свердловская область
таганрог;Ростовская область
тайга;Кемеровская область — Кузбасс
тайшет;Иркутская область
талдом;Московская область
талица;Свердловская область
тамбов;Тамбовская область
тарко-сале;Тюменская область
таруса;Калужская область
татарск;Новосибирская область
татарстан;Республика Татарстан (Татарстан)
таштагол;Кемеровская область — Кузбасс
тверская обл;Тверская область
тверь;Тверская область
теберда;Карачаево-Черкесская Республика
тейково;Ивановская область
тельмана;Ленинградская область
темников;Республика Мордовия
темрюк;Краснодарский край
терек;Кабардино-Балкарская Республика
тетюши;Республика Татарстан (Татарстан)
тимашевск;Краснодарский край
тихвин;Ленинградская область
тихорецк;Краснодарский край
тобольск;Тюменская область
тогучин;Новосибирская область
тольятти;Самарская область
томари;Сахалинская область
томмот;Республика Саха (Якутия)
томск;Томская область
топки;Кемеровская область — Кузбасс
торжок;Тверская область
торопец;Тверская область
тосно;Ленинградская область
тотьма;Вологодская область
трехгорный;Челябинская область
троицк;Челябинская область
трубчевск;Брянская область
туапсе;Краснодарский край
туймазы;Республика Башкортостан
тулун;Иркутская область
туран;Республика Тыва
туринск;Свердловская область
тутаев;Ярославская область
тында;Амурская область
тырныауз;Кабардино-Балкарская Республика
тюкалинск;Омская область
тюменская обл;Тюменская область
тюмень;Тюменская область
уварово;Тамбовская область
углегорск;Сахалинская область
углич;Ярославская область
удачный;Республика Саха (Якутия)
удомля;Тверская область
узловая;Тульская область
улан-удэ;Республика Бурятия
ульяновск;Ульяновская область
унеча;Брянская область
урень;Нижегородская область
уржум;Кировская область
урус-мартан;Чеченская Республика
урюпинск;Волгоградская область
усинск;Республика Коми
усмань;Липецкая область
усолье;Пермский край
усолье-сибирское;Иркутская область
уссурийск;Приморский край
усть-джегута;Карачаево-Черкесская Республика
усть-илимск;Иркутская область
усть-катав;Челябинская область
усть-кут;Иркутская область
усть-лабинск;Краснодарский край
устюжна;Вологодская область
учалы;Республика Башкортостан
фатеж;Курская область
феодосия;Республика Крым
фролово;Волгоградская область
фрязино;Московская область
фурманов;Ивановская область
хабаровск;Хабаровский край
хадыженск;Краснодарский край
ханты-мансийск;Ханты-Мансийский Автономный округ — Югра
харабали;Астраханская область
харовск;Вологодская область
хасавюрт;Республика Дагестан
хвалынск;Саратовская область
хилок;Забайкальский край
химки;Московская область
холмск;Сахалинская область
хотьково;Московская область
цивильск;Чувашская Республика — Чувашия
цимлянск;Ростовская область
циолковский;Амурская область
чадан;Республика Тыва
чайковский;Пермский край
чапаевск;Самарская область
чаплыгин;Липецкая область
чебаркуль;Челябинская область
чебоксары;Чувашская Республика — Чувашия
чегем;Кабардино-Балкарская Республика
чекалин;Тульская область
челябинск;Челябинская область
чердынь;Пермский край
черемхово;Иркутская область
черепаново;Новосибирская область
череповец;Вологодская область
черкесск;Карачаево-Черкесская Республика
чермоз;Пермский край
черноголовка;Московская область
черногорск;Республика Хакасия
чернушка;Пермский край
черняховск;Калининградская область
чехов;Московская область
чистополь;Республика Татарстан (Татарстан)
чкаловск;Нижегородская область
чуваш;Чувашская Республика — Чувашия
чудово;Новгородская область
чулым;Новосибирская область
чусовой;Пермский край
чухлома;Костромская область
шагонар;Республика Тыва
шадринск;Курганская область
шарыпово;Красноярский край
шарья;Костромская область
шатура;Московская область
шахты;Ростовская область
шахунья;Нижегородская область
шебекино;Белгородская область
шелехов;Иркутская область
шелковская;Чеченская Республика
шенкурск;Архангельская область
шилка;Забайкальский край
шимановск;Амурская область
шиханы;Саратовская область
шлиссельбург;Ленинградская область
шумерля;Чувашская Республика — Чувашия
шумиха;Курганская область
щекино;Тульская область
щелкино;Республика Крым
щелково;Московская область
щигры;Курская область
щучье;Курганская область
электрогорск;Московская область
электросталь;Московская область
электроугли;Московская область
элиста;Республика Калмыкия
энгельс;Саратовская область
эртиль;Воронежская область
югорск;Ханты-Мансийский Автономный округ — Югра
южно-сахалинск;Сахалинская область
южно-сухокумск;Республика Дагестан
южноуральск;Челябинская область
юрьев-польский;Владимирская область
юрьевец;Ивановская область
юрюзань;Челябинская область
юхнов;Калужская область
ядрин;Чувашская Республика — Чувашия
якутск;Республика Саха (Якутия)
ялта;Республика Крым
ялуторовск;Тюменская область
ямало-ненецкий ао;Тюменская область
янаул;Республика Башкортостан
яранск;Кировская область
яровое;Республика Алтай
ярославль;Ярославская область
ярцево;Смоленская область
ясногорск;Тульская область
ясный;Оренбургская область
яхрома;Московская область
тула;Тульская область
азов;Ростовская область
амурск;Хабаровский край
арск;Республика Татарстан (Татарстан)
аша;Челябинская область
бор;Нижегородская область
буй;Костромская область
гай;Оренбургская область
гдов;Псковская область
дно;Псковская область
ейск;Краснодарский край
елец;Липецкая область
емва;Республика Коми
зея;Амурская область
зима;Иркутская область
инза;Ульяновская область
инта;Республика Коми
ишим;Тюменская область
кемь;Республика Карелия
кирс;Кировская область
клин;Московская область
кола;Мурманская область
куса;Челябинская область
луга;Ленинградская область
луза;Кировская область
нея;Костромская область
обь;Новосибирская область
омск;Омская область
орск;Оренбургская область
оса;Пермский край
оха;Сахалинская область
очер;Пермский край
плес;Ивановская область
реж;Свердловская область
ржев;Тверская область
руза;Московская область
сим;Челябинская область
сочи;Краснодарский край
тара;Омская область
ужур;Красноярский край
урай;Ханты-Мансийский Автономный округ — Югра
уфа;Республика Башкортостан
ухта;Республика Коми
уяр;Красноярский край
холм;Новгородская область
чита;Забайкальский край
шали;Чеченская Республика
шацк;Рязанская область
шуя;Ивановская область
южа;Ивановская область
юрга;Кемеровская область — Кузбасс
